MIB-MODULE,MIB File,OID,Name,Recommended Action,Comments,Description,Trigger Description,Dependency,cleartime In Days
Roamware-SmartSTP-V2-MIB,ROAMWARE-SMARTSTP-V2-MIB,.1.3.6.1.4.1.11150.69.4.0.19,smartSTPTCAPDecodeFail,Major,,Sent to indicate that too many TCAP decodes failed,Sent to indicate that too many TCAP decodes failed,NONE,3d
Roamware-SmartSTP-V2-MIB,ROAMWARE-SMARTSTP-V2-MIB,.1.3.6.1.4.1.11150.69.4.0.20,smartSTPUDTSThreshold,Information,,Sent to indicate that for too many messages no match was found in the routing table and subsequently UDTS were sent,Sent to indicate that for too many messages no match was found in the routing table and subsequently UDTS were sent,NONE,3d
Roamware-SmartSTP-V2-MIB,ROAMWARE-SMARTSTP-V2-MIB,.1.3.6.1.4.1.11150.69.4.0.21,smartSTPResyncTrap,Information,,Emitted before and after a trap resynchronization process,Emitted before and after a trap resynchronization process,NONE,3d
Roamware-SmartSTP-V2-MIB,ROAMWARE-SMARTSTP-V2-MIB,.1.3.6.1.4.1.11150.69.4.0.22,smartSTPCicStateChange,Information,,Sent when CICs in an ISUP circuit group get blocked or unblocked,Sent when CICs in an ISUP circuit group get blocked or unblocked,NONE,3d
Roamware-SmartSTP-V2-MIB,ROAMWARE-SMARTSTP-V2-MIB,.1.3.6.1.4.1.11150.69.4.0.23,smartSTPSCTPAssocStatusNotif,Information,,Indicates the status of an SCTP association,Indicates the status of an SCTP association,NONE,3d
Roamware-SmartSTP-V2-MIB,ROAMWARE-SMARTSTP-V2-MIB,.1.3.6.1.4.1.11150.69.4.0.24,smartSTPSCTPPathStatusNotif,Information,,Indicates the status of an SCTP association path,Indicates the status of an SCTP association path,NONE,3d
Roamware-SmartSTP-V2-MIB,ROAMWARE-SMARTSTP-V2-MIB,.1.3.6.1.4.1.11150.69.4.0.25,smartSTPLicenseCongestion,Average,,Indicates SIGTRAN license breach,Indicates SIGTRAN license breach,NONE,3d
Roamware-SmartSTP-V2-MIB,ROAMWARE-SMARTSTP-V2-MIB,.1.3.6.1.4.1.11150.69.4.0.26,smartSTPGCTCongestion,Average,,Indicates GCT Environment condition state,Indicates GCT Environment condition state,NONE,3d
Roamware-SmartSTP-V2-MIB,ROAMWARE-SMARTSTP-V2-MIB,.1.3.6.1.4.1.11150.69.4.0.27,smartSTPDSIBoardEvent,Average,,Indicates Dialogic Board Status:ResetOK or Failed,Indicates Dialogic Board Status:ResetOK or Failed,NONE,3d
Roamware-SmartSTP-V2-MIB,ROAMWARE-SMARTSTP-V2-MIB,.1.3.6.1.4.1.11150.69.4.0.28,smartSTPUDTSRecvThreshold,Average,,Sent to indicate that for too many messages received from the stack,Sent to indicate that for too many messages received from the stack,NONE,3d
Roamware-CSVProcessor-V2-MIB,ROAMWARE-CSVPROCESSOR-V2-MIB,.1.3.6.1.4.1.11150.89.2.0.1,csvProcessorSysUp,Clear,,Indicates that the CSVProcessor is up and active.,Indicates that the CSVProcessor is up and active.,NONE,3d
Roamware-CSVProcessor-V2-MIB,ROAMWARE-CSVPROCESSOR-V2-MIB,.1.3.6.1.4.1.11150.89.2.0.2,csvProcessorSysDown,Critical,,Indicates that the CSVProcessor is shutting down.,Indicates that the CSVProcessor is shutting down.,.1.3.6.1.4.1.11150.89.2.0.1,3d
Roamware-CSVProcessor-V2-MIB,ROAMWARE-CSVPROCESSOR-V2-MIB,.1.3.6.1.4.1.11150.89.2.0.3,csvProcessorDBConnStatus,Information,,Indicates the database connection status.,Indicates the database connection status.,NONE,3d
Roamware-CSVProcessor-V2-MIB,ROAMWARE-CSVPROCESSOR-V2-MIB,.1.3.6.1.4.1.11150.89.2.0.4,csvProcessorProcessingError,Major,,Indicates a processing error in CSVProcessor.,Indicates a processing error in CSVProcessor.,NONE,3d
Roamware-CSVProcessor-V2-MIB,ROAMWARE-CSVPROCESSOR-V2-MIB,.1.3.6.1.4.1.11150.89.2.0.5,csvProcessorFileRotateError,Major,,Indicates a problem with file rotation.,Indicates a problem with file rotation.,NONE,3d
